PCA_1,PCA_2,prediction,iteration_guid,sut_name,ctdp_in_watts,cpufreq_scaling_governor,power_determinism_mode_enabled,numa_zones,packages,total_memory_size_in_gib,memory_speed_in_mts,M,N,K,gflops
0.28502529090457435,0.0031049595459275627,3,287d3f35-b973-4529-986b-f4a6a5e94727,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2267.1
0.2849022726405563,0.003208348005417619,3,4051e634-2257-4dbb-a51c-5173548787e8,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2275.09
0.2854688591226916,0.0027321707156190114,3,351bccf7-5f9c-46ce-bb52-488b51d147cb,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2238.31
0.284975247793184,0.0031470173674716414,3,79fa260b-0c5d-4832-9ba9-b51d470d3eca,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2270.3500000000004
0.2851196963137045,0.003025618239208568,3,9aa2ba6c-176d-4444-a05d-052c5c03f5f5,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2260.9700000000003
0.2920725514402989,-0.001062957490006334,3,6900237d-a52f-4633-a907-4af2960c0caa,sppo-ethx-87eb,-1,performance,false,1,1,256,3200,16000,16000,16000,1930.42
0.2921681912648964,-0.001143136047340572,3,c9aa9667-ab97-4533-b526-28c323421b98,sppo-ethx-87eb,-1,performance,false,1,1,256,3200,16000,16000,16000,1924.33
0.2926729780119619,-0.001566318265747154,3,f6ba3785-2b2c-4a75-9f04-edbac7c996c0,sppo-ethx-87eb,-1,performance,false,1,1,256,3200,16000,16000,16000,1892.21
0.2542248611688382,0.028994952925205764,3,1acdac9f-1e4e-4846-bd6a-302348f7abc2,sppo-daytona-076-ubuntu2004,-1,performance,false,2,2,512,3200,16000,16000,16000,4344.5599999999995
0.2541511880601423,0.02905686974882199,3,7a712c13-0a3d-4c2f-8715-d1df1e9c6e2f,sppo-daytona-076-ubuntu2004,-1,performance,false,2,2,512,3200,16000,16000,16000,4349.719999999999
0.2540653959710066,0.029128971683228172,3,ece23434-eb20-4452-831a-0d985253daf7,sppo-daytona-076-ubuntu2004,-1,performance,false,2,2,512,3200,16000,16000,16000,4355.73
0.2548324671463241,0.028484304836613707,3,ddf04f4f-05a7-4c79-a5ce-63661faa6cf0,sppo-daytona-076-ubuntu2004,-1,performance,false,2,2,512,3200,16000,16000,16000,4302.04
0.25444667623685885,0.028808533691849394,3,36161485-c5f5-4c22-951e-ee087a6c2dca,sppo-daytona-076-ubuntu2004,-1,performance,false,2,2,512,3200,16000,16000,16000,4329.030000000001
0.2919945167162559,-0.0009975379681483286,3,866b16ae-64ca-4375-b324-32a149c4f1a0,sppo-ethx-87eb,-1,performance,false,1,1,256,3200,16000,16000,16000,1935.39
0.292125315541744,-0.0011071916733154663,3,b90f0c8e-1f6b-42c3-abea-463cbe7f614e,sppo-ethx-87eb,-1,performance,false,1,1,256,3200,16000,16000,16000,1927.06
0.2920114727246827,-0.0010117528446344434,3,b3c293db-f1f5-4900-9519-ea64a0f27cd0,sppo-ethx-87eb,-1,performance,false,1,1,256,3200,16000,16000,16000,1934.31
-0.39118253606377157,-0.14744412000398308,5,fd994957-09d6-4cab-8a32-0ea03b6df908,sppo-ethanolx-8cd7,-1,performance,false,1,1,256,3200,256,256,256,1924.3500000000001
-0.39123697855181216,-0.1471460326959479,5,2d12bd5f-5ce6-4da3-879a-fdccf1809deb,sppo-ethanolx-8cd7,-1,performance,false,1,1,256,3200,256,256,256,1926.51
-0.39140334545731237,-0.14623512901039804,5,2918a161-e7a1-4895-926a-8dedaf0e3daa,sppo-ethanolx-8cd7,-1,performance,false,1,1,256,3200,256,256,256,1933.1200000000006
-0.39122110344135136,-0.14723295320807636,5,b9d4c661-bbbb-4fea-9c25-3aef7c6103d3,sppo-ethanolx-8cd7,-1,performance,false,1,1,256,3200,256,256,256,1925.8800000000008
-0.3911015578098689,-0.14788749778821006,5,01097298-302a-4f36-be20-8443380126d2,sppo-ethanolx-8cd7,-1,performance,false,1,1,256,3200,256,256,256,1921.1399999999999
0.2933070216640142,-0.002097861537835609,3,fe9749cc-2f11-40cd-b7e0-75b14c35ac42,sppo-ethanolx-8c25,-1,performance,false,1,1,256,3200,16000,16000,16000,1851.92
0.2931013915174177,-0.0019254738471646202,3,eada3d0b-7429-475a-9b36-816eefd217f1,sppo-ethanolx-8c25,-1,performance,false,1,1,256,3200,16000,16000,16000,1864.98
0.293096984010734,-0.0019217788641507152,3,a58ffefd-7a9f-452f-82bf-4ec4cca1b197,sppo-ethanolx-8c25,-1,performance,false,1,1,256,3200,16000,16000,16000,1865.26
0.2931560169596101,-0.0019712684642831935,3,34138771-1af9-460f-b88d-cb46da1a34cf,sppo-ethanolx-8c25,-1,performance,false,1,1,256,3200,16000,16000,16000,1861.51
0.2931416908676886,-0.001959258348336889,3,ce1a9ed4-d6e5-4836-9617-6323f7c76e1b,sppo-ethanolx-8c25,-1,performance,false,1,1,256,3200,16000,16000,16000,1862.42
-0.39138473816796515,-0.14633700893894236,5,710937ce-5f8c-4d77-b5e6-55be5de46ce5,sppo-ethanolx-8cd7,-1,performance,false,1,1,256,3200,256,256,256,1932.3799999999999
0.29308612285254976,-0.0019126735359272125,3,6498feeb-6a51-495c-939e-39be8136e735,sppo-ethanolx-8c25,-1,performance,false,1,1,256,3200,16000,16000,16000,1865.95
-0.3913507809164134,-0.14652293405125183,5,96c647a9-5c2a-4cbe-b175-947c1f7ea666,sppo-ethanolx-8cd7,-1,performance,false,1,1,256,3200,256,256,256,1931.0299999999997
0.2930870672899294,-0.0019134652942445832,3,f8a20055-fdd1-490c-8fe8-16af2caa1235,sppo-ethanolx-8c25,-1,performance,false,1,1,256,3200,16000,16000,16000,1865.89
-0.3912797999356762,-0.14691157406810493,5,ba2c7354-0071-4834-8d91-f4f7f77bf62e,sppo-ethanolx-8cd7,-1,performance,false,1,1,256,3200,256,256,256,1928.2099999999998
0.2931347641414751,-0.001953451406331474,3,61dfcc91-1f9b-4f67-b809-83a4e8590dc1,sppo-ethanolx-8c25,-1,performance,false,1,1,256,3200,16000,16000,16000,1862.86
-0.39104272621726266,-0.14820961662771473,5,1de0897f-6e6b-4ce4-9405-4dd8d1285075,sppo-ethanolx-8cd7,-1,performance,false,1,1,256,3200,256,256,256,1918.8099999999997
0.2930470879668528,-0.0018799490842245949,3,054df1a2-445f-4bfd-85b3-8b6b9a1571cb,sppo-ethanolx-8c25,-1,performance,false,1,1,256,3200,16000,16000,16000,1868.43
-0.3913210875664945,-0.14668551315192124,5,5e83e88c-98f4-4288-8d3e-64c306a12e7c,sppo-ethanolx-8cd7,-1,performance,false,1,1,256,3200,256,256,256,1929.8500000000001
0.2930590498847016,-0.001889977221771963,3,03931de6-c612-4c4c-babd-4e0c41f73003,sppo-ethanolx-8c25,-1,performance,false,1,1,256,3200,16000,16000,16000,1867.67
0.26294406772956236,0.021667101769600756,3,c37fade2-33fc-43c7-a12c-526b4eddf7c1,sppo-ethx-87eb,-1,performance,false,2,2,512,3200,16000,16000,16000,3740.51
0.2629199919746804,0.021687335668981997,3,db936848-b659-42ba-93d3-4b611efeea27,sppo-ethx-87eb,-1,performance,false,2,2,512,3200,16000,16000,16000,3742.16
0.2634920688619381,0.021206547164868597,3,89e5a85d-9f03-4f19-990e-cfe86d16f4e0,sppo-ethx-87eb,-1,performance,false,2,2,512,3200,16000,16000,16000,3702.98
0.26294158713104315,0.02166918653002004,3,2ebf757a-599c-4330-b917-2beeb0b7190e,sppo-ethx-87eb,-1,performance,false,2,2,512,3200,16000,16000,16000,3740.6800000000003
0.26308402730104846,0.021549476054404146,3,5157f1c3-1da6-432e-a2d6-30cdb69f8cc7,sppo-ethx-87eb,-1,performance,false,2,2,512,3200,16000,16000,16000,3730.92
0.255623156150603,0.031044050976944224,3,07e6b3fc-4987-4c80-9863-75bada024a9a,sppo-daytona12-u1904,-1,performance,false,2,2,1024,2933,16000,16000,16000,4281.59
0.25534406358844897,0.02805000646625583,3,b4485692-eeed-4ddb-b4f2-2743000386ea,sppo-daytona-056-ubuntu20041,-1,ondemand,false,2,2,512,3200,16000,16000,16000,4265.97
0.2552116362944495,0.028161302573629202,3,927e9171-b305-4991-a144-e4752a1ff515,sppo-daytona-056-ubuntu20041,-1,ondemand,false,2,2,512,3200,16000,16000,16000,4275.219999999999
0.2549806501447559,0.028359767936525726,3,9ac56091-7591-431e-90c7-3cc29f776ac7,sppo-daytona-076-ubuntu2004,-1,performance,false,2,2,512,3200,16000,16000,16000,4291.68
0.30699414262600516,-0.024931552669446036,3,b05d20e0-df1c-4a54-b796-43031ce8a60e,sppo-quartz-641f-ubuntu2110,-1,performance,false,1,1,384,3600,16000,16000,16000,555.51
0.29748719049049954,-0.016834946072568066,3,a77ebb9e-49f1-4849-9b47-a0030c0e0821,UB200403dtXU9V3jvsHE,-1,performance,false,1,1,384,3600,16000,16000,16000,1147.52
0.32143513278506286,-0.027518560248022426,3,898ece12-59d9-435e-b48e-03c46b5b33dd,sppo-daytona-010-rhel83,-1,performance,false,8,2,512,3200,16000,16000,16000,0
0.32143513278506286,-0.027518560248022426,3,f59009cc-fe53-4198-ba16-fca9621a4827,sppo-daytona-010-rhel83,-1,performance,false,8,2,512,3200,16000,16000,16000,0
0.32143513278506286,-0.027518560248022426,3,c7c8be5f-52d6-47fa-a878-e1869cc1cef1,sppo-daytona-010-rhel83,-1,performance,false,8,2,512,3200,16000,16000,16000,0
0.32143513278506286,-0.027518560248022426,3,fa0b8c6a-5e8f-4b27-8199-84d6df8574df,sppo-daytona-010-rhel83,-1,performance,false,8,2,512,3200,16000,16000,16000,0
0.32143513278506286,-0.027518560248022426,3,f91c2e09-f60e-44ed-8781-88115bb3feeb,sppo-daytona-010-rhel83,-1,performance,false,8,2,512,3200,16000,16000,16000,0
0.32143513278506286,-0.027518560248022426,3,3d3c2310-d83f-4900-8652-e250fc873d46,sppo-daytona-010-rhel83,-1,performance,false,8,2,512,3200,16000,16000,16000,0
0.32143513278506286,-0.027518560248022426,3,9d5524f8-b641-4b52-bb8d-5be9f108010e,sppo-daytona-010-rhel83,-1,performance,false,8,2,512,3200,16000,16000,16000,0
0.32143513278506286,-0.027518560248022426,3,85ba58c9-4830-4945-8ae3-c15c68a404bf,sppo-daytona-010-rhel83,-1,performance,false,8,2,512,3200,16000,16000,16000,0
0.32143513278506286,-0.027518560248022426,3,e2ffd805-cf71-46f9-b4c1-82331ea900dd,sppo-daytona-010-rhel83,-1,performance,false,8,2,512,3200,16000,16000,16000,0
0.32143513278506286,-0.027518560248022426,3,1c919e2b-b126-44f7-b434-7f3f2fcb0cbf,sppo-daytona-010-rhel83,-1,performance,false,8,2,512,3200,16000,16000,16000,0
0.32143513278506286,-0.027518560248022426,3,af65de66-4c56-4f54-85b9-a19bba1dae07,sppo-daytona-010-rhel83,-1,performance,false,8,2,512,3200,16000,16000,16000,0
0.32143513278506286,-0.027518560248022426,3,1dbcbb75-4b96-4c90-af36-895ef0ae495d,sppo-daytona-010-rhel83,-1,performance,false,8,2,512,3200,16000,16000,16000,0
0.32143513278506286,-0.027518560248022426,3,b8c77d3d-8c44-483d-ba76-6623721f62ef,sppo-daytona-010-rhel83,-1,performance,false,8,2,512,3200,16000,16000,16000,0
0.32143513278506286,-0.027518560248022426,3,d2600570-df34-46ab-a748-637c68a5335f,sppo-daytona-010-rhel83,-1,performance,false,8,2,512,3200,16000,16000,16000,0
0.32143513278506286,-0.027518560248022426,3,3b957876-5686-4dc4-9ed1-3c0929bf08eb,sppo-daytona-010-rhel83,-1,performance,false,8,2,512,3200,16000,16000,16000,0
